#TYPE System.Security.AccessControl.FileSecurity
"PSPath","PSParentPath","PSChildName","PSDrive","PSProvider","CentralAccessPolicyId","CentralAccessPolicyName","AccessToString","AuditToString","Path","Owner","Group","Access","Sddl","AccessRightType","AccessRuleType","AuditRuleType","AreAccessRulesProtected","AreAuditRulesProtected","AreAccessRulesCanonical","AreAuditRulesCanonical"
"Microsoft.PowerShell.Core\FileSystem::C:\Users\Administrator\Desktop\test\testing.txt","Microsoft.PowerShell.Core\FileSystem::C:\Users\Administrator\Desktop\test","testing.txt","C","Microsoft.PowerShell.Core\FileSystem",,,"TPI\nvr Allow  ReadAndExecute, Synchronize
NT AUTHORITY\SYSTEM Allow  FullControl
BUILTIN\Administrators Allow  FullControl
TPI\Administrator Allow  FullControl","","Microsoft.PowerShell.Core\FileSystem::C:\Users\Administrator\Desktop\test\testing.txt","BUILTIN\Administrators","TPI\Domain Users","System.Security.AccessControl.AuthorizationRuleCollection","O:BAG:DUD:AI(A;;0x1200a9;;;S-1-5-21-527506445-4031010334-1863899813-1106)(A;ID;FA;;;SY)(A;ID;FA;;;BA)(A;ID;FA;;;LA)","System.Security.AccessControl.FileSystemRights","System.Security.AccessControl.FileSystemAccessRule","System.Security.AccessControl.FileSystemAuditRule","False","False","True","True"
"Microsoft.PowerShell.Core\FileSystem::C:\Users\Administrator\Desktop\test\txt.txt","Microsoft.PowerShell.Core\FileSystem::C:\Users\Administrator\Desktop\test","txt.txt","C","Microsoft.PowerShell.Core\FileSystem",,,"NT AUTHORITY\SYSTEM Allow  FullControl
BUILTIN\Administrators Allow  FullControl
TPI\Administrator Allow  FullControl","","Microsoft.PowerShell.Core\FileSystem::C:\Users\Administrator\Desktop\test\txt.txt","BUILTIN\Administrators","TPI\Domain Users","System.Security.AccessControl.AuthorizationRuleCollection","O:BAG:DUD:(A;ID;FA;;;SY)(A;ID;FA;;;BA)(A;ID;FA;;;LA)","System.Security.AccessControl.FileSystemRights","System.Security.AccessControl.FileSystemAccessRule","System.Security.AccessControl.FileSystemAuditRule","False","False","True","True"
